date,state,district,market,commodity,arrivals_tonnes,min_price,max_price,modal_price,year,month
2024-01-01,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,11.71,200.0,1670.0,200.0,2024,1
2024-01-02,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,5.99,1148.0,1782.0,1148.0,2024,1
2024-01-03,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,13.88,1210.0,2012.0,1210.0,2024,1
2024-01-04,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,16.33,986.0,2006.0,986.0,2024,1
2024-01-05,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,38.79,400.0,1727.0,400.0,2024,1
2024-01-06,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,40.68,280.0,1790.0,280.0,2024,1
2024-01-08,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,39.86,570.0,1624.0,570.0,2024,1
2024-01-09,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,26.6,511.0,1875.0,511.0,2024,1
2024-01-10,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,18.86,583.0,1214.0,583.0,2024,1
2024-01-11,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,36.97,534.0,1454.0,534.0,2024,1
2024-01-12,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,26.41,450.0,1825.0,450.0,2024,1
2024-01-13,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,36.33,381.0,1706.0,381.0,2024,1
2024-01-16,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,42.49,856.0,2151.0,856.0,2024,1
2024-01-17,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,45.15,220.0,1900.0,220.0,2024,1
2024-01-18,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,122.88,474.0,1524.0,474.0,2024,1
2024-01-19,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,179.94,100.0,1451.0,100.0,2024,1
2024-01-20,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,92.27,150.0,1033.0,400.0,2024,1
2024-01-23,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,32.12,376.0,1154.0,376.0,2024,1
2024-01-24,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,64.97,214.0,1011.0,214.0,2024,1
2024-01-25,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,106.49,134.0,1133.0,700.0,2024,1
2024-01-27,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,123.42,201.0,1297.0,201.0,2024,1
2024-01-29,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,125.9,140.0,1138.0,140.0,2024,1
2024-01-30,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,88.31,180.0,924.0,250.0,2024,1
2024-01-31,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,79.35,229.0,973.0,229.0,2024,1
2024-02-01,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,87.88,170.0,999.0,170.0,2024,2
