date,state,district,market,commodity,arrivals_tonnes,min_price,max_price,modal_price,year,month,date_str,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,price_lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_14,rolling_std_30,price_change_1d,price_change_7d,price_change_30d,day_of_week,day_of_month,quarter
2024-02-08,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,35.05,213.0,1025.0,213.0,2024,2,2024-02-08,1000.0,264.0,700.0,229.0,400.0,200.0,394.7142857142857,360.2857142857143,464.9,324.1505382203945,257.71613142293666,310.9434309345983,736.0,771.0,800.0,3,8,1
2024-02-09,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,41.3,180.0,1257.0,200.0,2024,2,2024-02-09,213.0,1000.0,264.0,170.0,376.0,1148.0,392.42857142857144,346.92857142857144,465.3333333333333,325.567124232396,260.3321736922669,310.57036887473424,-787.0,43.0,-935.0,4,9,1
2024-02-10,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,33.05,222.0,1122.0,222.0,2024,2,2024-02-10,200.0,213.0,1000.0,200.0,214.0,1210.0,396.7142857142857,334.35714285714283,433.73333333333335,322.3324961824949,263.05559726557277,285.9693657735379,-13.0,0.0,-1010.0,5,10,1
2024-02-12,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,27.29,188.0,1451.0,188.0,2024,2,2024-02-12,222.0,200.0,213.0,200.0,700.0,986.0,399.85714285714283,334.92857142857144,400.8,320.1949554940076,262.7825846839679,247.83746064013746,22.0,22.0,-764.0,0,12,1
2024-02-13,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,45.6,190.0,1311.0,190.0,2024,2,2024-02-13,188.0,222.0,200.0,700.0,201.0,400.0,398.14285714285717,298.35714285714283,374.2,321.4728752535889,242.94621346578464,224.59747902905514,-34.0,-512.0,-212.0,1,13,1
2024-02-15,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,47.79,100.0,1149.0,200.0,2024,2,2024-02-15,190.0,188.0,222.0,264.0,140.0,280.0,325.2857142857143,297.57142857142856,367.2,298.6406504400198,243.30282311609886,227.0250479876462,2.0,-74.0,-90.0,3,15,1
2024-02-16,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,43.2,329.0,1119.0,329.0,2024,2,2024-02-16,200.0,190.0,188.0,1000.0,250.0,570.0,316.14285714285717,301.85714285714283,364.53333333333336,301.79265982427324,240.82961009581248,228.54935833513565,10.0,-800.0,-370.0,4,16,1
2024-02-17,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,29.91,443.0,1152.0,443.0,2024,2,2024-02-17,329.0,200.0,190.0,213.0,229.0,511.0,220.28571428571428,307.5,356.5,49.42574998828816,240.44629977798172,225.29057864807874,129.0,116.0,-182.0,5,17,1
2024-02-19,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,24.46,430.0,1497.0,430.0,2024,2,2024-02-19,443.0,329.0,200.0,200.0,170.0,583.0,253.14285714285714,322.7857142857143,354.23333333333335,97.16725883998268,241.87001549510921,224.02104016538615,114.0,243.0,-140.0,0,19,1
2024-02-20,Madhya Pradesh,Ujjain,Ujjain APMC,Onion,29.94,220.0,1811.0,1811.0,2024,2,2024-02-20,430.0,443.0,329.0,222.0,200.0,534.0,286.0,341.35714285714283,349.1333333333333,113.68523797456439,239.20335961843688,220.34482902523686,-13.0,208.0,-104.0,1,20,1
