state,district,market,commodity,variety,arrival_date,arrivals_tonnes,min_price,max_price,modal_price,year,month
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,01/01/2024,11.71,200.0,1670.0,200.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,02/01/2024,5.99,1148.0,1782.0,1148.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,03/01/2024,13.88,1210.0,2012.0,1210.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,04/01/2024,16.33,986.0,2006.0,986.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,05/01/2024,38.79,400.0,1727.0,400.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,06/01/2024,40.68,280.0,1790.0,280.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,08/01/2024,39.86,570.0,1624.0,570.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,09/01/2024,26.6,511.0,1875.0,511.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,10/01/2024,18.86,583.0,1214.0,583.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,11/01/2024,36.97,534.0,1454.0,534.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,12/01/2024,26.41,450.0,1825.0,450.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,13/01/2024,36.33,381.0,1706.0,381.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,16/01/2024,42.49,856.0,2151.0,856.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,17/01/2024,45.15,220.0,1900.0,220.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,18/01/2024,122.88,474.0,1524.0,474.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,19/01/2024,179.94,100.0,1451.0,100.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,20/01/2024,92.27,150.0,1033.0,400.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,23/01/2024,32.12,376.0,1154.0,376.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,24/01/2024,64.97,214.0,1011.0,214.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,25/01/2024,106.49,134.0,1133.0,700.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,27/01/2024,123.42,201.0,1297.0,201.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,29/01/2024,125.9,140.0,1138.0,140.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,30/01/2024,88.31,180.0,924.0,250.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,31/01/2024,79.35,229.0,973.0,229.0,2024,1
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,01/02/2024,87.88,170.0,999.0,170.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,02/02/2024,45.81,200.0,1024.0,200.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,03/02/2024,77.15,200.0,1100.0,200.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,05/02/2024,42.8,220.0,1116.0,700.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,06/02/2024,34.97,264.0,1016.0,264.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,07/02/2024,39.27,182.0,1194.0,1000.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,08/02/2024,35.05,213.0,1025.0,213.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,09/02/2024,41.3,180.0,1257.0,200.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,10/02/2024,33.05,222.0,1122.0,222.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,12/02/2024,27.29,188.0,1451.0,188.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,13/02/2024,45.6,190.0,1311.0,190.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,15/02/2024,47.79,100.0,1149.0,200.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,16/02/2024,43.2,329.0,1119.0,329.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,17/02/2024,29.91,443.0,1152.0,443.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,19/02/2024,24.46,430.0,1497.0,430.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,20/02/2024,29.94,220.0,1811.0,1811.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,21/02/2024,26.21,274.0,2550.0,274.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,22/02/2024,12.12,746.0,2550.0,746.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,23/02/2024,41.18,330.0,2550.0,400.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,24/02/2024,19.84,243.0,1163.0,243.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,27/02/2024,105.88,323.0,1593.0,600.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,28/02/2024,56.83,400.0,1242.0,400.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,29/02/2024,78.44,240.0,1449.0,1449.0,2024,2
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,01/03/2024,42.78,210.0,1219.0,1219.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,02/03/2024,32.77,160.0,1045.0,1045.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,04/03/2024,39.13,350.0,2072.0,600.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,05/03/2024,32.67,250.0,2350.0,2350.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,06/03/2024,48.71,350.0,1843.0,1843.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,07/03/2024,36.97,200.0,1701.0,1701.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,09/03/2024,39.03,320.0,1389.0,1389.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,11/03/2024,42.71,400.0,1625.0,1625.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,12/03/2024,42.46,274.0,1362.0,1362.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,13/03/2024,33.27,249.0,1472.0,1472.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,14/03/2024,44.02,240.0,2111.0,500.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,15/03/2024,32.57,280.0,2000.0,2000.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,16/03/2024,45.81,200.0,1950.0,1950.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,18/03/2024,65.39,180.0,1949.0,1949.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,19/03/2024,30.38,200.0,1950.0,200.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,20/03/2024,31.76,220.0,1896.0,1896.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,21/03/2024,42.17,416.0,1739.0,1739.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,22/03/2024,31.45,500.0,1557.0,900.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,23/03/2024,23.8,310.0,1850.0,1850.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,26/03/2024,28.64,1496.0,1800.0,1800.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,27/03/2024,39.46,360.0,1700.0,1700.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,28/03/2024,43.38,384.0,1650.0,1650.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,29/03/2024,40.06,518.0,1650.0,1650.0,2024,3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,01/04/2024,67.37,355.0,1425.0,1425.0,2024,4
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,02/04/2024,86.92,120.0,1293.0,1200.0,2024,4
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,03/04/2024,115.59,140.0,1300.0,1300.0,2024,4
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,04/04/2024,57.03,267.0,1600.0,1600.0,2024,4
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,05/04/2024,61.79,200.0,1843.0,1843.0,2024,4
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Onion,06/04/2024,70.48,498.0,1600.0,1400.0,2024,4
