State,District,Market,Commodity,Variety,Arrival_Date,Min_Price,Max_Price,Modal_Price
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-01-02,6000,7000,6500.0
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-01-03,6500,6800,6600.0
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-01-04,6500,7000,6700.0
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-01-05,6500,7000,6800.0
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-01-06,6000,7000,6500.0
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-01-07,6500,7000,6500.0
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-01-08,6000,6000,6000.0
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-01-09,6500,7000,6500.0
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-01-10,6000,6000,6000.0
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-01-11,5000,7000,6000.0
Madhya Pradesh,Alirajpur,Alirajpur(F&V),Onion,Onion,2020-09-08,1000,1300,1200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-01-27,4000,4000,4000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-01-28,3000,3000,3000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-01-29,2500,2500,2500.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-01-30,3000,3000,3000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-04,3500,3500,3500.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-13,2500,2500,2500.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-14,2500,2500,2500.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-15,2500,2500,2500.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-19,2200,2200,2200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-22,2200,2200,2200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-23,2200,2200,2200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-24,2200,2200,2200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-25,2200,2200,2200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-26,2100,2100,2100.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-28,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-02-29,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-02,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-03,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-04,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-06,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-07,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-08,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-09,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-13,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-15,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-16,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-18,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-03-19,2000,2000,2000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-06,1000,1000,1000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-09,1000,1000,1000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-13,800,800,800.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-18,800,800,800.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-20,800,800,800.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-21,1000,1000,1000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-22,900,900,900.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-23,800,800,800.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-24,900,900,900.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-28,1000,1000,1000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-29,1000,1000,1000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-07-30,1000,1000,1000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-08-05,1200,1200,1200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-08-06,1000,1000,1000.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-08-07,1200,1200,1200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-08-08,1000,1000,1000.0
